CALLS,,PUTS,,,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,,
,1.00,-,-,-,-,-,5000.00,842.55,1051.55,5000.00,3400.00,3000.00,0.15,2.45,125.00,-,-,-,-,-,12.00,,
,-,-,-,-,-,-,5000.00,801.45,995.35,5000.00,3450.00,3000.00,0.10,-,-,-,-,-,-,-,-,,
,2.00,-,-,-,-,-,375.00,773.80,848.25,250.00,3500.00,125.00,1.05,2.75,250.00,1.00,3.00,54.00,6.00,-,223.00,,
,-,-,-,-,-,-,375.00,720.70,838.90,375.00,3550.00,1375.00,0.15,-,-,-,-,-,-,-,-,,
,-,-,-,-,-,-,375.00,670.55,788.65,375.00,3600.00,125.00,2.00,-,-,-,-,-,-,-,32.00,,
,-,-,-,-,-,-,375.00,620.30,738.85,375.00,3650.00,125.00,0.50,-,-,-,-,-,-,-,11.00,,
,1.00,-,-,-,-,-,625.00,568.15,688.80,625.00,3700.00,250.00,2.75,3.35,125.00,-0.70,3.00,41.91,15.00,3.00,462.00,,
,-,-,-,-,-,-,375.00,520.50,640.30,375.00,3750.00,125.00,4.15,4.50,750.00,-0.05,4.80,42.21,10.00,-,78.00,,
,4.00,-,-,-,-,-,375.00,461.75,563.55,375.00,3800.00,750.00,5.30,5.75,875.00,-0.90,5.35,39.86,18.00,9.00,417.00,,
,-,-,-,-,-,-,750.00,438.80,543.15,625.00,3850.00,500.00,6.80,7.05,875.00,-0.35,7.40,39.16,34.00,4.00,166.00,,
,12.00,-,-,-,-,-,375.00,422.00,455.10,250.00,3900.00,875.00,8.55,9.05,125.00,-1.05,8.65,36.78,39.00,22.00,343.00,,
,8.00,-,1.00,37.25,411.55,39.05,500.00,385.10,406.55,250.00,3950.00,500.00,10.60,11.00,250.00,-1.85,10.55,35.28,29.00,-2.00,81.00,,
,85.00,-,1.00,21.08,350.00,6.75,125.00,342.15,352.10,250.00,4000.00,125.00,13.20,13.65,125.00,-1.80,13.65,33.51,216.00,20.00,634.00,,
,10.00,-,-,-,-,-,125.00,294.25,307.50,125.00,4050.00,250.00,16.60,16.90,625.00,-2.70,16.10,31.71,57.00,-2.00,110.00,,
,105.00,-,-,-,-,-,250.00,250.45,259.70,250.00,4100.00,250.00,21.40,21.90,125.00,-3.65,21.00,31.00,196.00,-,354.00,,
,33.00,1.00,2.00,17.60,205.00,-11.70,250.00,209.40,219.00,250.00,4150.00,250.00,28.45,29.45,375.00,-3.30,28.60,29.10,169.00,15.00,293.00,,
,337.00,1.00,44.00,23.59,174.80,-2.10,125.00,172.05,175.40,125.00,4200.00,125.00,39.10,39.95,250.00,-3.10,40.00,28.41,439.00,-35.00,586.00,,
,180.00,-1.00,7.00,21.34,132.00,-10.95,250.00,135.80,143.30,250.00,4250.00,125.00,53.45,54.25,125.00,-5.20,52.50,27.99,127.00,-9.00,184.00,,
,460.00,42.00,301.00,24.38,106.50,-3.30,250.00,106.95,108.95,125.00,4300.00,750.00,72.50,74.75,125.00,-1.70,73.80,27.92,584.00,77.00,486.00,,
,909.00,28.00,498.00,24.22,82.00,-1.75,125.00,81.25,82.75,375.00,4350.00,125.00,95.10,97.60,375.00,-4.05,95.45,28.20,108.00,9.00,110.00,,
,1112.00,50.00,680.00,24.57,61.00,-2.30,125.00,61.25,62.35,250.00,4400.00,125.00,124.65,127.75,125.00,-0.10,127.55,31.24,56.00,1.00,215.00,,
,189.00,5.00,229.00,24.92,45.20,-1.30,250.00,45.00,45.75,125.00,4450.00,250.00,155.40,164.75,375.00,-3.15,161.65,33.66,3.00,-2.00,21.00,,
,1039.00,-68.00,562.00,25.21,32.00,-1.80,250.00,32.05,32.70,250.00,4500.00,250.00,193.35,200.45,125.00,1.25,202.00,32.46,4.00,-1.00,284.00,,
,244.00,8.00,118.00,25.99,23.90,-0.95,250.00,23.70,24.20,125.00,4550.00,250.00,232.50,243.40,125.00,-,-,-,-,-,6.00,,
,505.00,8.00,351.00,26.70,17.00,-1.20,125.00,16.65,17.05,375.00,4600.00,250.00,275.80,291.55,625.00,-9.10,271.50,29.34,1.00,-,53.00,,
,128.00,-5.00,65.00,27.47,12.75,-0.85,125.00,12.45,12.85,750.00,4650.00,250.00,317.90,387.85,375.00,-,-,-,-,-,-,,
,294.00,-8.00,135.00,28.50,9.65,-0.65,125.00,9.45,9.75,875.00,4700.00,500.00,322.70,434.80,500.00,-,-,-,-,-,20.00,,
,130.00,-3.00,24.00,29.15,6.90,-0.95,250.00,7.35,7.55,125.00,4750.00,375.00,364.40,489.00,375.00,-,-,-,-,-,2.00,,
,494.00,-5.00,17.00,30.89,6.00,-0.25,125.00,5.75,5.95,125.00,4800.00,500.00,453.80,535.45,375.00,-,-,-,-,-,7.00,,
,78.00,-,5.00,31.15,4.15,-0.75,500.00,3.90,6.10,125.00,4850.00,375.00,464.60,585.30,375.00,-,-,-,-,-,-,,
,204.00,-1.00,20.00,33.28,4.00,-0.10,125.00,3.55,3.90,125.00,4900.00,375.00,514.75,633.85,375.00,-,-,-,-,-,-,,
,22.00,-,-,-,-,-,1000.00,0.30,3.55,125.00,4950.00,375.00,564.50,682.90,375.00,-,-,-,-,-,-,,
,531.00,-,13.00,36.34,3.00,-0.65,250.00,3.05,3.50,125.00,5000.00,250.00,656.30,690.60,500.00,-12.00,650.00,35.02,1.00,-,41.00,,
,2.00,-,-,-,-,-,1000.00,0.30,-,-,5050.00,375.00,664.40,783.40,375.00,-,-,-,-,-,-,,
,11.00,-,-,-,-,-,1000.00,0.40,3.50,2000.00,5100.00,375.00,714.50,833.00,375.00,-,-,-,-,-,-,,
,4.00,-,-,-,-,-,1000.00,0.30,-,-,5150.00,375.00,764.65,883.00,375.00,-,-,-,-,-,-,,
,78.00,-,-,-,-,-,125.00,2.15,2.85,250.00,5200.00,375.00,814.60,933.05,375.00,-,-,-,-,-,-,,
,1.00,-,-,-,-,-,250.00,0.15,-,-,5250.00,5000.00,811.05,1009.50,5000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3000.00,0.20,-,-,5300.00,5000.00,849.95,1064.05,5000.00,-,-,-,-,-,-,,
,1.00,-,-,-,-,-,250.00,0.15,-,-,5350.00,5000.00,893.55,1119.85,5000.00,-,-,-,-,-,-,,
,7.00,-,1.00,47.38,1.50,0.50,250.00,1.00,3.00,125.00,5400.00,5000.00,946.90,1175.10,5000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3000.00,0.10,-,-,5450.00,5000.00,988.00,1229.05,5000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3000.00,0.15,2.00,250.00,5500.00,5000.00,1032.50,1283.90,5000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3000.00,0.10,-,-,5550.00,5000.00,1077.00,1337.50,5000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3000.00,0.15,-,-,5600.00,5000.00,1124.70,1392.20,5000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3000.00,0.10,-,-,5650.00,5000.00,1176.00,1448.05,5000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3000.00,0.15,-,-,5700.00,5000.00,1213.65,1503.90,5000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3000.00,0.10,-,-,5750.00,5000.00,1258.10,1559.05,5000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3000.00,0.15,-,-,5800.00,5000.00,1301.20,1645.75,5000.00,-,-,-,-,-,1.00,,
,-,-,-,-,-,-,3000.00,0.10,-,-,5850.00,5000.00,1347.00,1701.60,5000.00,-,-,-,-,-,-,,
,1.00,-,-,-,-,-,3000.00,0.15,0.80,125.00,5900.00,125.00,1471.55,1671.90,125.00,-,-,-,-,-,8.00,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
