CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,1760.00,288.00,17036.00,38.78,105.95,56.65,125.00,105.75,105.95,125.00,5600.00,125.00,105.35,106.40,125.00,-105.35,105.95,35.34,"2,949",335,694
,1988.00,189.00,12900.00,36.95,60.55,33.00,125.00,60.50,60.95,125.00,5700.00,250.00,157.85,161.65,125.00,-127.85,159.35,32.82,398,20,577
,2002.00,275.00,8744.00,36.46,32.60,16.40,125.00,32.45,32.60,500.00,5800.00,250.00,229.15,233.60,250.00,-139.20,229.95,30.41,155,-45,587
,1066.00,-365.00,5387.00,37.30,17.80,7.00,125.00,17.70,17.90,125.00,5900.00,125.00,314.10,320.60,250.00,-131.30,340.00,44.76,56,-23,479
,3465.00,-1042.00,9137.00,39.36,10.65,3.35,375.00,10.40,10.60,125.00,6000.00,250.00,404.60,414.10,250.00,-166.20,408.80,-,126,-76,"1,098"
,1759.00,-154.00,3776.00,41.11,6.25,1.25,250.00,6.25,6.35,375.00,6100.00,125.00,500.40,509.30,125.00,-147.30,517.00,43.29,24,-15,214
,2122.00,-59.00,2499.00,43.59,4.10,0.25,250.00,4.00,4.10,375.00,6200.00,125.00,598.45,610.55,250.00,-192.25,596.75,-,15,-9,216
,1476.00,31.00,1655.00,46.23,2.85,-0.15,250.00,2.90,3.05,500.00,6300.00,250.00,692.30,707.65,125.00,-154.55,700.00,-,10,-5,144
,788.00,-5.00,756.00,49.52,2.25,-0.25,500.00,2.10,2.20,250.00,6400.00,125.00,786.35,830.70,375.00,-,-,-,-,-,112
,1236.00,-263.00,963.00,51.16,1.45,-0.50,250.00,1.35,1.45,250.00,6500.00,125.00,891.30,903.10,125.00,-117.60,935.30,86.72,32,-28,338
,349.00,-29.00,251.00,54.30,1.20,-0.25,250.00,1.10,1.20,250.00,6600.00,125.00,989.45,1021.60,375.00,-177.60,1018.80,75.94,8,-8,79
,292.00,-21.00,39.00,55.44,0.75,-0.55,375.00,0.75,1.05,125.00,6700.00,375.00,1042.45,1149.30,375.00,-,-,-,-,-,42
,461.00,-8.00,110.00,61.00,0.95,-0.65,125.00,0.95,1.00,750.00,6800.00,125.00,1185.55,1201.20,125.00,-169.55,1210.40,69.07,9,-11,99
,158.00,-26.00,32.00,64.17,0.85,-1.55,625.00,0.60,2.30,125.00,6900.00,375.00,1265.75,1312.90,125.00,-,-,-,-,-,7
,1107.00,-49.00,85.00,67.56,0.80,-0.15,125.00,0.60,0.80,125.00,7000.00,125.00,1387.55,1411.05,875.00,-135.00,1395.00,-,10,-10,196
,145.00,-11.00,10.00,70.30,0.70,-0.05,125.00,0.70,2.60,125.00,7100.00,3750.00,1398.20,1565.05,125.00,-,-,-,-,-,14
,227.00,-9.00,25.00,72.76,0.60,-0.40,125.00,0.65,1.40,125.00,7200.00,3750.00,1455.55,1673.90,250.00,-14.65,1730.35,192.35,2,-,20
,92.00,-,-,-,-,-,125.00,0.20,0.95,125.00,7300.00,3750.00,1630.95,2021.00,3875.00,-,-,-,-,-,4
,62.00,-,-,-,-,-,375.00,0.30,0.90,1250.00,7400.00,3750.00,1697.75,1929.00,125.00,-,-,-,-,-,8
,208.00,-45.00,26.00,82.38,0.55,-0.10,500.00,0.55,0.60,2125.00,7500.00,3750.00,1753.85,1927.05,375.00,-,-,-,-,-3,82
,23.00,-,-,-,-,-,750.00,0.40,-,-,7600.00,3750.00,1880.40,2265.00,3750.00,-,-,-,-,-,-
,4.00,-,-,-,-,-,125.00,0.15,-,-,7700.00,3750.00,1976.85,2470.95,3875.00,-,-,-,-,-,1
,23.00,-,-,-,-,-,500.00,0.15,-,-,7800.00,3750.00,2061.30,2581.80,3875.00,-,-,-,-,-,4
,-,-,-,-,-,-,6500.00,0.05,-,-,7900.00,3750.00,2150.05,2590.65,3750.00,-,-,-,-,-,-
,112.00,-2.00,2.00,97.42,0.50,-,125.00,0.20,2.00,500.00,8000.00,3750.00,2240.95,2568.95,250.00,-,-,-,-,-,20
,-,-,-,-,-,-,6500.00,0.05,-,-,8100.00,3750.00,2332.55,2804.35,3750.00,-,-,-,-,-,-
,2.00,-,-,-,-,-,6500.00,0.05,0.90,125.00,8200.00,3750.00,2425.65,2913.25,3750.00,-,-,-,-,-,-
,-,-,-,-,-,-,6500.00,0.05,-,-,8300.00,3750.00,2513.80,3140.35,3875.00,-,-,-,-,-,1
,-,-,-,-,-,-,6500.00,0.05,-,-,8400.00,3750.00,2602.10,3126.65,3750.00,-,-,-,-,-,-
,-,-,-,-,-,-,6500.00,0.05,-,-,8500.00,3750.00,2694.95,3299.35,3750.00,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,8600.00,3750.00,2783.45,3408.45,3750.00,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,8700.00,3750.00,2876.00,3516.70,3750.00,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,8800.00,3750.00,2964.95,3627.85,3750.00,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,8900.00,3750.00,3058.55,3736.85,3750.00,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,9000.00,3750.00,3088.55,3848.10,3750.00,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,9100.00,3750.00,3236.45,3956.85,3750.00,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,9200.00,3750.00,3264.40,4066.75,3750.00,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,9300.00,3750.00,3357.75,4176.35,3750.00,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,9400.00,3750.00,3442.20,4286.25,3750.00,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
