CALLS,,PUTS,,,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,,
,180.00,-,3.00,61.94,1.35,-0.35,650.00,1.30,1.75,325.00,1600.00,975.00,344.60,391.05,325.00,-,-,-,-,-,79.00,,
,5.00,-,-,-,-,-,1300.00,0.15,-,-,1620.00,13000.00,333.60,402.55,13000.00,-,-,-,-,-,-,,
,9.00,-,-,-,-,-,1300.00,0.15,-,-,1640.00,13000.00,348.05,423.80,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,650.00,0.15,-,-,1660.00,13000.00,370.20,446.70,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,650.00,0.15,-,-,1680.00,13000.00,382.65,468.15,13000.00,-,-,-,-,-,-,,
,57.00,-,1.00,57.36,0.15,-0.20,3250.00,0.15,1.90,650.00,1700.00,650.00,428.70,506.40,650.00,-,-,-,-,-,4.00,,
,-,-,-,-,-,-,3250.00,0.10,-,-,1720.00,13000.00,419.45,512.90,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.10,2.00,650.00,1740.00,13000.00,437.80,535.05,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.10,-,-,1760.00,325.00,484.85,555.90,13000.00,-,-,-,-,-,2.00,,
,-,-,-,-,-,-,3250.00,0.10,-,-,1780.00,13000.00,475.40,578.25,13000.00,-,-,-,-,-,-,,
,14.00,-,-,-,-,-,7150.00,0.10,1.00,1300.00,1800.00,650.00,522.35,572.90,650.00,-,-,-,-,-,30.00,,
,-,-,-,-,-,-,3250.00,0.10,-,-,1820.00,13000.00,512.10,623.75,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.10,-,-,1840.00,13000.00,530.40,643.95,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.10,-,-,1860.00,13000.00,548.70,666.50,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.10,-,-,1880.00,13000.00,566.30,702.00,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.10,1.00,325.00,1900.00,650.00,615.80,689.90,650.00,-,-,-,-,-,4.00,,
,-,-,-,-,-,-,3250.00,0.05,-,-,1920.00,13000.00,593.05,746.40,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,-,-,1940.00,13000.00,610.85,769.00,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,1.00,325.00,1960.00,13000.00,630.65,791.25,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,-,-,1980.00,13000.00,647.05,813.70,13000.00,-,-,-,-,-,-,,
,2.00,-,-,-,-,-,3250.00,0.05,0.95,650.00,2000.00,325.00,709.50,796.20,325.00,-,-,-,-,-,3.00,,
,-,-,-,-,-,-,3250.00,0.05,-,-,2020.00,13000.00,685.75,858.10,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,-,-,2040.00,13000.00,701.80,880.45,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,-,-,2060.00,13000.00,723.55,903.10,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,-,-,2080.00,13000.00,738.75,925.15,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,-,-,2100.00,13000.00,759.10,947.50,13000.00,-,-,-,-,-,1.00,,
,-,-,-,-,-,-,3250.00,0.05,-,-,2120.00,13000.00,777.10,969.85,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,-,-,2140.00,13000.00,794.90,992.45,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,-,-,2160.00,13000.00,812.75,1014.35,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,-,-,2180.00,13000.00,832.60,1036.85,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,2.40,1950.00,2200.00,13000.00,851.00,1059.50,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,-,-,2220.00,13000.00,867.75,1081.85,13000.00,-,-,-,-,-,-,,
,-,-,-,-,-,-,3250.00,0.05,-,-,2240.00,13000.00,887.75,1104.15,13000.00,-,-,-,-,-,-,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
