CALLS,,PUTS,,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,185.00,-69.00,133.00,19.06,31.60,6.55,1900.00,30.70,31.60,1900.00,640.00,19950.00,1.65,1.75,12350.00,-2.05,1.70,32.60,1748.00,131.00,1082.00,
,445.00,-181.00,717.00,17.89,22.00,4.95,1900.00,21.60,22.25,1900.00,650.00,11400.00,2.40,2.50,3800.00,-3.25,2.45,28.45,2200.00,8.00,946.00,
,492.00,-401.00,1478.00,18.77,13.70,3.40,950.00,13.55,13.75,950.00,660.00,950.00,4.15,4.20,950.00,-5.00,4.10,25.47,2727.00,258.00,789.00,
,1123.00,-323.00,5451.00,18.75,7.20,1.75,950.00,7.15,7.30,1900.00,670.00,1900.00,7.60,7.85,1900.00,-6.40,7.70,24.61,2996.00,287.00,719.00,
,2577.00,1332.00,7061.00,19.10,3.20,0.40,1900.00,3.10,3.20,1900.00,680.00,1900.00,13.40,13.90,2850.00,-7.75,13.70,25.55,590.00,-41.00,434.00,
,1274.00,121.00,3293.00,21.72,1.65,0.20,11400.00,1.60,1.65,1900.00,690.00,2850.00,21.70,22.55,1900.00,-7.90,22.90,32.68,68.00,-10.00,168.00,
,3365.00,-19.00,2801.00,24.96,1.00,0.05,19000.00,0.95,1.05,10450.00,700.00,1900.00,31.05,31.85,950.00,-8.65,31.05,33.48,150.00,-62.00,803.00,
,1372.00,22.00,744.00,28.07,0.65,-,7600.00,0.65,0.70,3800.00,710.00,1900.00,40.70,41.75,1900.00,-8.10,40.80,39.37,55.00,-26.00,106.00,
,1529.00,-41.00,582.00,30.44,0.40,-0.05,11400.00,0.40,0.45,15200.00,720.00,950.00,50.20,51.70,950.00,-10.95,51.00,47.13,9.00,-,133.00,
,380.00,-54.00,185.00,34.46,0.35,-0.05,17100.00,0.30,0.35,5700.00,730.00,950.00,59.70,62.00,950.00,-7.05,63.00,63.92,8.00,-2.00,55.00,
,468.00,-93.00,181.00,38.08,0.30,-0.10,60800.00,0.25,0.30,1900.00,740.00,950.00,69.60,80.35,950.00,-,-,-,-,-,61.00,
,883.00,16.00,178.00,41.28,0.25,-0.05,1900.00,0.25,0.30,30400.00,750.00,950.00,80.05,81.15,950.00,-,-,-,-,-,62.00,
,398.00,8.00,82.00,45.42,0.25,-0.05,5700.00,0.25,0.30,5700.00,760.00,950.00,88.45,100.50,950.00,-,-,-,-,-,67.00,
,280.00,-15.00,73.00,49.46,0.25,-0.05,38000.00,0.20,0.25,4750.00,770.00,31350.00,90.30,103.45,3800.00,-,-,-,-,-,2.00,
,220.00,-6.00,35.00,53.39,0.25,-0.05,28500.00,0.20,0.25,4750.00,780.00,31350.00,97.35,117.55,2850.00,-,-,-,-,-,-,
,62.00,-,8.00,51.02,0.10,-0.05,44650.00,0.10,0.20,10450.00,790.00,28500.00,103.90,134.35,28500.00,-,-,-,-,-,2.00,
,564.00,-44.00,52.00,57.13,0.15,-0.05,4750.00,0.15,0.20,6650.00,800.00,1900.00,128.65,132.45,950.00,-,-,-,-,-1.00,139.00,
,12.00,-,3.00,53.73,0.05,-0.15,950.00,0.10,0.30,1900.00,810.00,28500.00,125.50,155.55,28500.00,-,-,-,-,-,-,
,19.00,-,-,-,-,-,1900.00,0.10,0.30,950.00,820.00,28500.00,134.35,165.65,28500.00,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.90,1900.00,830.00,28500.00,142.65,176.15,28500.00,-,-,-,-,-,-,
,9.00,-,-,-,-,-,950.00,0.05,0.50,950.00,840.00,28500.00,152.15,190.65,28500.00,-,-,-,-,-,-,
,40.00,-2.00,2.00,65.88,0.05,-,1900.00,0.10,0.20,1900.00,850.00,28500.00,161.05,197.10,28500.00,-,-,-,-,-,2.00,
,1.00,-,-,-,-,-,-,-,0.60,1900.00,860.00,28500.00,169.95,211.45,28500.00,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.80,1900.00,870.00,28500.00,178.85,222.30,28500.00,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.60,3800.00,880.00,28500.00,187.70,233.30,28500.00,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,890.00,28500.00,196.60,244.30,28500.00,-,-,-,-,-,-,
,41.00,6.00,17.00,94.85,0.25,-,1900.00,0.10,0.20,1900.00,900.00,950.00,228.85,230.65,950.00,-13.00,232.00,147.87,35.00,-26.00,20.00,
,-,-,-,-,-,-,-,-,-,-,910.00,28500.00,214.40,269.10,28500.00,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.00,1900.00,920.00,28500.00,223.30,279.85,28500.00,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
